"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Barbados","BRB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","47","53","55","84","88","84","85","84","85","87","92","90","92","97","92","99","92","97","86","94","93","91","90","98","93","92","75","94","94","85","93","90","87","95","96","",
"Brunei Darussalam","BRN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","73","80","88","94","90","98","99","99","99","99","99","96","92","99","99","99","99","98","99","94","99","99","99","98","99","98","97","97","99","99","94","91","99","96","97","96","",
"Bhutan","BTN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","21","21","20","21","36","44","51","58","64","79","93","89","86","84","81","85","85","84","71","77","78","78","78","88","87","93","90","95","99","94","95","95","95","94","97","97","",
"Botswana","BWA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","63","70","75","79","82","85","91","87","87","87","87","88","88","88","88","89","89","89","89","90","91","91","92","92","93","93","94","95","95","96","96","97","97","97","97","97","",
"Central African Republic","CAF","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","12","15","16","16","19","23","24","17","40","69","82","57","32","42","52","46","44","42","37","37","36","35","42","49","55","62","61","59","58","56","53","49","49","25","49","49","",
"Canada","CAN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","85","87","89","92","94","96","97","96","97","96","96","96","96","95","95","95","94","94","93","94","93","91","90","88","98","90","90","90","",
"Central Europe and the Baltics","CEB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","91.8365895209145","92.6661555974776","92.1772465703246","90.2265810615094","93.7728753412782","90.6677829401564","94.2507867310245","94.8869943020186","94.353960654995","93.6081190526028","93.7285401293348","94.3517292861934","95.0630915279668","96.3161349279079","96.3464672878881","96.5843940257584","97.1659192488051","96.6856453379118","96.8590065465145","97.5036166929242","97.1164701784389","97.1138702837948","97.4519493888745","97.4147546943628","97.5794313990052","97.3628665062187","97.2258101004544","97.1562463326295","96.5608048423388","96.6139806753954","96.4292024642009","95.3042379331219","94.2354222972132","",
"Switzerland","CHE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","90","90","83","83","83","83","83","83","83","81","82","82","82","82","82","82","87","87","87","92","92","92","93","93","93","93","94","",
"Channel Islands","CHI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","94","95","96","95","94","92","91","92","95","92","97","99","89","94","96","97","93","96","98","94","97","96","95","96","94","90","91","92","96","93","93","91","90","90","97","96","",
"China","CHN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","78","84","88","63","77","95","95","98","92","87","81","75","80","84","83","83","84","84","85","85","85","86","86","93","94","97","99","99","99","99","99","99","99","",
"Cote d'Ivoire","CIV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","30","31","41","56","57","54","52","55","57","65","68","66","57","68","71","71","70","78","84","73","67","63","67","70","49","74","76","62","72","",
"Cameroon","CMR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","16","21","25","31","39","44","44","48","56","56","48","37","32","38","46","39","43","47","46","49","51","53","61","64","68","73","74","80","74","79","76","82","83","80","79","",
"Congo, Rep.","COG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","49","49","55","59","52","67","69","69","73","75","75","64","60","55","47","38","42","18","21","23","34","35","37","50","65","54","61","59","69","63","75","80","75","80","80","80","",
"Colombia","COL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","26","28","43","51","51","45","59","74","81","82","78","74","94","84","95","90","80","78","79","88","93","93","93","94","96","95","93","95","89","88","88","94","92","91","94","",
"Comoros","COM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","42","18","71","71","40","85","87","40","51","56","59","69","43","49","67","69","70","70","71","67","76","67","66","65","76","79","72","79","85","82","80","81","",
"Cabo Verde","CPV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","54","58","75","80","84","79","76","82","88","87","85","84","83","84","85","86","88","89","90","91","92","94","95","96","97","97","96","91","91","93","92","",
"Costa Rica","CRI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","60","79","87","84","76","78","90","93","97","77","90","96","92","89","87","91","84","99","83","88","82","82","94","89","88","89","90","90","89","81","83","83","90","91","95","93","",
"Caribbean small states","CSS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","30.9894838882782","33.3642564572697","50.2411781688385","55.3008617484164","49.3116388710308","65.2652328544248","69.3376428847534","71.3030032456029","74.8380689834813","82.5066033303753","71.4364180126026","83.1004064462525","83.4126730204508","86.9708424952559","92.4407625115917","87.1092131564601","89.2053931355951","84.8570556034845","88.7733652066626","88.3917251731741","87.5057948603494","83.4318579746732","89.2295683273725","89.0004067382978","89.0776917835741","85.452519286719","90.7383868915049","92.0975444296668","91.5447823032443","90.8527390766508","90.7232782255476","94.2714293624718","93.7066230005643","93.184821922864","",
"Cuba","CUB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","48","49","55","94","82","85","80","99","89","98","94","99","99","96","99","99","99","96","99","96","94","96","98","99","99","98","96","97","98","99","99","99","99","99","99","99","",
"Curacao","CUW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","29","28","21","19","25","43","60","91","74","76","77","78","80","81","82","83","90","90","89","87","86","86","86","86","86","86","87","87","87","87","87","87","86","86","86","90","",
"Czech Republic","CZE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","97","96","97","96","95","97","97","97","98","97","97","97","97","98","97","98","98","98","98","99","99","99","",
"Germany","DEU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","25","50","50","47","48","50","70","75","75","75","75","75","75","89","90","92","91","91","92","92","92","94","94","95","96","96","96","97","97","97","97","97","97","97","97","97","",
"Djibouti","DJI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","15","18","20","27","19","22","68","75","85","53","41","41","42","41","41","31","21","23","50","49","62","66","60","65","67","74","73","84","85","84","83","80","71","74","",
"Dominica","DMA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","43","63","85","93","97","87","90","88","88","98","99","99","99","99","99","99","98","99","99","99","99","99","99","98","97","96","99","99","99","99","99","93","94","96","",
"Denmark","DNK","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","72","80","84","86","85","81","88","88","85","84","91","92","99","94","95","96","96","95","90","89","87","84","85","87","90","89","90","91","",
"Dominican Republic","DOM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","30","18","25","24","19","54","71","71","29","65","70","72","73","75","76","78","79","79","80","83","85","88","86","83","81","79","81","82","83","84","85","87","88","83","88","90","",
"Algeria","DZA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","68","67","73","81","82","83","85","86","87","88","89","90","92","84","83","80","83","81","84","81","83","91","92","88","92","95","95","95","95","95","95","",
"East Asia & Pacific (excluding high income)","EAP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","56.5342892168957","61.0600589779593","68.2423840644328","55.3123189363498","67.1369260061682","82.680087694033","85.6514197404935","89.9608245804737","86.3981828854486","82.6886011314171","78.9366104499037","75.386368145675","78.0668021285577","82.7184355348169","81.9636100804028","82.4374598497059","83.0966647900435","82.7861353910341","83.2358606904012","82.8117231681033","83.6231034583271","85.5408780351368","85.5861362231044","89.6981411625649","89.2191626087453","91.6238374118831","92.6349843789544","92.7509686539527","92.8800985150074","93.5725667283317","94.0027579647693","93.1067994412947","91.151738570448","",
"Early-demographic dividend","EAR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","24.0329327744398","30.1932759558076","37.6634748086418","45.6368153037368","54.4596945306594","62.823166183809","57.5791147766873","61.7518965132404","65.5172622654857","70.4398179587566","71.4520792259935","71.0105334306316","66.6611013933261","66.7318915604865","67.9178497744619","68.1515855907091","68.5790359225303","67.7220023274251","69.7703664984148","72.4698227283207","75.3927124319719","76.2969298970591","76.727748441377","77.9276232129588","80.3106959575761","82.8500818530523","83.9790081053744","83.1426949427268","82.5822093506581","83.4375971169942","83.8161498298541","",
"East Asia & Pacific","EAS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","56.7634062862911","61.678620048027","68.8961439809227","56.8561579222431","67.7167411456986","82.2223961033871","85.5175405774942","89.4784659997979","86.0585362832191","82.4751945962702","78.9021898709047","76.0414565324275","79.0328533959661","83.4176381140203","82.583269237228","83.0115505102577","83.7926355869089","83.6790943703138","84.1845659571116","83.8190579395547","84.5310735004044","86.3540898363436","86.3811742438154","90.1379858702533","89.5523401846089","91.7729470569215","92.7019851124962","92.8912843294574","93.0372216759552","93.7439867060512","94.1093481689723","93.362807346669","91.4261953692295","",
"Europe & Central Asia (excluding high income)","ECA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.392088201256","82.7030494419697","80.9798366373217","82.2353093030977","85.067458293256","88.9098253907465","89.8647435354054","91.0224167649301","92.9647107147349","94.2297781513754","91.9994515751836","90.4961823471445","92.2636542795862","95.092998738393","96.563107099629","96.5922005249374","96.5490466905646","94.4150723440275","93.444671341034","94.5535483696694","95.160266705202","95.808298576015","93.2485489030043","93.2548700303986","",
"Europe & Central Asia","ECS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3576230276777","83.2350646817689","82.736031842964","83.9097572681826","86.0892361937811","88.0292389572184","88.032354933576","89.4373523951994","90.7394068834724","91.6994910173449","90.9303483842309","90.3906294418679","91.4445581399562","93.0476713330227","94.4404873016941","94.7081385483722","94.7519237617771","93.5979451159931","93.2864395173429","94.0319984617952","94.6519475879377","94.9702947992911","93.5940408035538","93.6142735266028","",
"Ecuador","ECU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","24","31","45","34","54","51","50","47","53","57","60","54","69","85","83","81","79","77","89","99","99","99","99","99","99","93","97","98","98","97","95","94","96","97","85","84","",
"Egypt, Arab Rep.","EGY","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","41","41","41","47","74","78","76","85","86","86","89","89","89","89","89","92","92","98","96","98","97","97","98","97","98","98","97","92","95","96","96","93","96","93","92","",
"Euro area","EMU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","39.7405654299017","49.7563575149082","57.4070524795245","64.0466821978966","68.7016900040151","71.5326227926413","75.9345943754282","73.5646595824626","73.2905827457903","74.9972191190233","78.7147143365757","79.8235857497919","81.2607078901244","83.3993801189469","83.9359096917375","83.5082679537318","85.949020446371","86.8062560928574","88.3440028143538","89.3621628694577","90.7873180732562","91.3503182809302","91.425275745437","92.6122693625095","93.339081371605","93.4687429386738","93.327331928131","93.166152864606","93.412937157934","93.7702436313003","93.4014092133052","93.572830381661","93.2074654928024","",
"Eritrea","ERI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","51","58","66","73","79","88","76","84","83","92","96","95","95","97","97","99","99","99","98","94","90","85","",
"Spain","ESP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","8","27","40","68","79","83","85","84","97","99","85","83","90","90","90","90","93","93","95","94","96","97","98","97","97","97","97","98","98","95","97","97","95","96","96","",
"Estonia","EST","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","76","81","86","88","89","92","93","95","95","95","96","96","96","96","95","95","95","94","94","94","93","93","",
"Ethiopia","ETH","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","4","3","7","7","8","12","10","13","15","23","38","17","12","22","54","38","54","51","44","37","36","35","36","35","35","40","44","49","54","59","64","68","65","62","70","78","",
"European Union","EUU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","57.775466566781","63.5463403925317","68.4810797733042","72.0606497995697","76.6691426750851","78.0525784810692","82.1358989576132","80.6446433210452","80.8290671832392","81.8762778783387","84.2919651107486","84.9754712706652","86.030547145409","87.3995035954093","87.560877812326","86.7119680341073","88.3953472798337","88.9596212552347","89.5332090696789","90.3459587024187","90.8146297025262","91.068387728431","91.314069965647","92.4648626706163","93.0398670905569","93.0333647657418","92.9049083037953","93.2459360939304","93.4653360292903","94.0813596103968","93.9427710652564","93.8501321543844","93.7410920811626","",
"Fragile and conflict affected situations","FCS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","22.0650811043761","31.1695598402749","32.4759214461661","37.3412275735463","45.1921051041528","52.8971918238702","56.6008176737566","51.0503449013237","50.387818784428","51.6710137180888","53.7910898867763","54.4009633559634","54.4544622423325","54.488256911549","54.8169441356002","55.0474367701344","59.4438391675275","56.7533931735492","58.5549498496468","61.241041778649","65.5669252151678","67.503584778791","66.6513858621829","68.5701775260916","68.2702107402792","71.843887427404","74.1363833879304","72.66840222493","72.030823455869","72.1441201503334","70.6614239495887","71.2128352275038","",
"Finland","FIN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","70","75","81","83","85","87","92","98","95","97","97","99","99","99","98","98","96","96","96","96","96","96","97","97","97","97","98","97","98","98","97","97","97","97","97","",
"Fiji","FJI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","32","40","2","25","22","57","61","64","69","65","84","93","91","96","96","94","94","75","77","79","81","83","85","86","88","90","92","94","94","94","94","94","94","94","94","94","",
"France","FRA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","15","26","35","39","45","51","58","71","74","76","78","80","83","84","83","82","83","84","85","86","87","88","87","89","90","89","89","89","89","90","89","91","91","",
"Faroe Islands","FRO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","84","94","81","76","78","80","83","90","82","74","82","79","85","84","88","91","85","96","83","92","86","86","80","92","91","91","91","91","",
"Gabon","GAB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","58","66","67","68","76","76","71","66","63","60","57","57","56","56","55","55","55","55","55","55","55","55","62","67","63","62","72","71","70","61","68","",
"United Kingdom","GBR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","53","55","58","60","63","68","71","76","80","84","87","90","92","91","91","92","92","91","87","88","88","85","85","82","81","82","85","86","86","86","89","90","92","93","93","95","",
"Georgia","GEO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","61","63","61","65","69","73","76","73","74","75","76","86","90","96","97","97","83","94","91","93","97","92","96","",
"Ghana","GHA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","16","23","21","16","10","21","31","51","59","65","61","63","64","66","68","70","71","73","78","81","90","78","78","80","83","83","85","95","86","93","93","91","88","89","92","89","",
"Gibraltar","GIB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","15","34","30","29","29","28","28","27","27","35","42","52","55","58","61","61","56","52","40","42","44","46","48","50","51","51","57","55","53","58","62","61","62","52","52","",
"Gambia, The","GMB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","69","70","71","70","79","75","62","88","80","85","86","87","83","87","89","91","94","91","90","90","89","89","90","90","92","91","89","88","92","96","92","91","95","96","96","97","",
"Guinea-Bissau","GNB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","27","31","35","59","68","52","65","53","52","60","68","68","45","49","51","61","70","71","72","73","74","75","76","74","73","71","69","69","69","69","69","69","69","",
"Equatorial Guinea","GNQ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","11","17","32","46","18","88","85","82","79","80","81","81","82","82","51","51","51","51","51","51","51","51","51","51","51","51","51","35","42","44","27","",
"Greece","GRC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","75","77","39","81","82","76","76","72","72","72","70","70","90","90","89","88","89","91","92","94","95","96","98","99","99","99","99","99","99","99","97","97","",
